City,DebtSourceAbbr,DiscountRate,NetLiability,NL_minus1,NL_plus1,Assets,TotalPensionLiability,TPL_minus1,TPL_plus1,Cost_service,Cost_interest,Contrib_employer,Contrib_member,Contrib_Entity,Responsible,UnitName,Year,DataSource,DataYear,PercentOwedTotal,PercentOwedNPL,PerYear
Philadelphia,the Fund,0.077,6318526.49,7440019,5362903.59,4874074.83,11192601,12314093.71,10236978.42,157607.11,823959,706237,73607,,Component Unit,Philadelphia Municipal Authority,2017,,,0.0004,,
Philadelphia,the Fund,0.077,6318526.49,7440019,5362903.59,4874074.83,11192601,12314093.71,10236978.42,157607.11,823959,706237,73607,,Component Unit,Philadelphia House and Development Authority,2017,,,0.00024,,
Phoenix,COPERS,0.075,1775845,2280860,1355013,2353607,4129452,,,72876,293258,152153,30870,,City,,2017,,,1,,
Phoenix,Police - PSPRS,0.075,1777908,2147874,1472164,1171617,2949525,,,47232,199120,92298,31061,,City,,2017,,,1,,
Phoenix,Fire - PSPRS,0.075,908812,1098490,751185,649296,1558108,,,25101,107388,49932,16039,,City,,2017,,,1,,
San Antonio,City - TMRS,0.0675,422433,685787,205696,1491624,1914057,,,53965,122010,41828,21922,,City,,2017,,,1,,
San Antonio,Fire and Police Pension Plan,0.0725,349271,852393,-62609,3196529,3545800,,,71161,246848,75916,37958,,City,,2017,,,1,,
San Antonio,CPS Energy All Employee Plan,0.075,312462,533656,125823,1472376,1784838,,,31547,128991,44500,12144,,City,,2017,,,1,,
San Antonio,SAWS-TMRS,0.0675,27480,53499,5901,170589,198069,,,4979,12623,3609,2935,,City,,2017,,,1,,
San Antonio,SAWS Retirement Plan,0.065,43292,72690,18862,175279,218571,,,5724,13680,7367,2533,,City,,2017,,,1,,
San Antonio,District Special Project Retirement Income Plan,0.065,1284,"1,568","1,134",5410,6694,,,71,418,280,,,City,,2017,,,1,,
San Diego,SDCERS,0.0675,6988834,3654856,1589336,2522058,9510892,10643690,8578170,106878,613530,265572,57050,,City,,2017,,,1,,
San Francisco,SFERS,0.075,4993365,8554436,2046840,22410350,,,,644277,1924206,551809,316844,,City,,2017,,,0.940674,,
San Jose,PFDRP,0.0688,1240519,1920267,693341,3293257,4533776,5213524,3986598,72760,290961,,20580,,City,,2017,,,1,,
San Jose,FCERS,0.0688,1950418,2507641,1497823,1972792,3923210,4480433,3470615,51886,249388,,17227,,City,,2017,,,1,,
Seattle,SCERS,0.075,1107170.09,1586836.84,703684.34,2852872.57,3960042.66,,,112691.38,281361,112102.98,73650.41,,City,,2017,,,1,,
Seattle,Firemen’s Pension Fund,0.035,,,,,98573,107893,90546,,3623,,,,City,,2017,,,1,,
Seattle,Police Relief and Pension Fund,0.035,,,,,92956,100497,86397,,3400.81,,,,City,,2017,,,1,,
Seattle,LEOFF Plan 1,0.074,-1815502,-1444267,-2135114,5902733,4087231,,,,,,,,City,,2017,,,0.0355,,
Seattle,LEOFF Plan 2,0.074,-2030218,-269981,-3465896,13005552,10975334,,,,,106424,173993,,City,,2017,,,0.0917,,
